epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,985.035,2.57491,7.4079,0.50261,0.27217,0.29781,0.20794,0.17068,1.90897,6.39243,0.41482,0.00813011,0.00813011,0.00813011
2,1844.66,2.70556,6.26385,0.50152,0.32984,0.32315,0.24881,0.18767,2.09337,5.70682,0.42752,0.00990029,0.00990029,0.00990029
3,2693.45,2.71944,5.46863,0.50436,0.31543,0.45282,0.34918,0.27821,2.01246,5.01234,0.43161,0.00980058,0.00980058,0.00980058
4,3543.1,2.68046,4.98804,0.50184,0.34894,0.40675,0.32722,0.26011,2.06349,5.11893,0.43591,0.00970086,0.00970086,0.00970086
5,4391.16,2.62616,4.74214,0.49724,0.41527,0.38583,0.3462,0.27701,2.04111,4.83146,0.42945,0.00960115,0.00960115,0.00960115
6,5243.26,2.59738,4.55705,0.49156,0.54634,0.34735,0.38603,0.31213,2.00499,4.66437,0.43029,0.00950144,0.00950144,0.00950144
7,6090.98,2.55711,4.38859,0.48918,0.47593,0.39341,0.38022,0.30274,1.9661,4.56989,0.42738,0.00940173,0.00940173,0.00940173
8,6939.92,2.53001,4.22081,0.48802,0.36346,0.44978,0.39075,0.31954,1.96944,4.48465,0.42849,0.00930202,0.00930202,0.00930202
9,7788.24,2.51995,4.0656,0.4845,0.57938,0.40388,0.41729,0.34062,1.92811,4.63944,0.42241,0.0092023,0.0092023,0.0092023
10,8636.22,2.47736,3.93372,0.4818,0.52394,0.41976,0.43486,0.35779,2.00073,4.20935,0.42847,0.00910259,0.00910259,0.00910259
11,9486.94,2.4652,3.86002,0.4775,0.47332,0.46243,0.45977,0.37732,1.93152,4.26777,0.41902,0.00900288,0.00900288,0.00900288
12,10334.6,2.42649,3.72003,0.4702,0.48529,0.46042,0.44184,0.35914,1.96369,4.54355,0.42607,0.00890317,0.00890317,0.00890317
13,11185.1,2.40777,3.63756,0.469,0.48857,0.48962,0.48433,0.39074,1.97556,3.91041,0.42243,0.00880346,0.00880346,0.00880346
14,12038.2,2.41161,3.53714,0.46781,0.42483,0.48378,0.46378,0.37464,1.96953,3.97727,0.41914,0.00870374,0.00870374,0.00870374
15,12884.4,2.37664,3.46119,0.46863,0.43489,0.46644,0.45255,0.37084,1.94836,4.04316,0.42311,0.00860403,0.00860403,0.00860403
16,13729.3,2.36505,3.40336,0.46453,0.56765,0.44563,0.49091,0.40239,1.92581,4.26077,0.42602,0.00850432,0.00850432,0.00850432
17,14573.1,2.35493,3.30859,0.46501,0.50077,0.47349,0.48899,0.3981,1.94956,3.98644,0.42557,0.00840461,0.00840461,0.00840461
18,15422.2,2.33143,3.24602,0.46076,0.50162,0.46558,0.49816,0.40717,1.9228,3.9139,0.42361,0.0083049,0.0083049,0.0083049
19,16269.3,2.33058,3.17413,0.46055,0.50118,0.4864,0.48675,0.39997,1.93908,3.95353,0.42352,0.00820518,0.00820518,0.00820518
20,17117.4,2.30202,3.10406,0.45728,0.51098,0.5206,0.50655,0.41761,1.91838,3.92638,0.4218,0.00810547,0.00810547,0.00810547
21,17964.5,2.28687,3.02149,0.45492,0.5599,0.48234,0.49265,0.40216,1.90187,3.99265,0.42065,0.00800576,0.00800576,0.00800576
22,18807.4,2.27775,2.97496,0.45224,0.56616,0.4678,0.49278,0.394,1.94058,3.99885,0.42718,0.00790605,0.00790605,0.00790605
23,19651.4,2.25645,2.90317,0.45447,0.46262,0.50345,0.49263,0.40902,1.95706,4.10874,0.42786,0.00780634,0.00780634,0.00780634
24,20496.9,2.24954,2.81296,0.45252,0.48491,0.50865,0.49738,0.40555,1.94261,4.11603,0.42376,0.00770662,0.00770662,0.00770662
25,21343.3,2.2278,2.81385,0.44961,0.55638,0.44866,0.50724,0.41792,1.92267,3.9758,0.42533,0.00760691,0.00760691,0.00760691
26,22188.7,2.22568,2.74092,0.44859,0.52949,0.48593,0.49848,0.40781,1.94449,4.07617,0.42689,0.0075072,0.0075072,0.0075072
27,23033.2,2.21108,2.68631,0.44729,0.51015,0.51933,0.52608,0.43438,1.92869,3.86822,0.42118,0.00740749,0.00740749,0.00740749
28,23882.1,2.19969,2.62204,0.44576,0.51962,0.49933,0.50223,0.41064,1.92336,4.0229,0.42623,0.00730778,0.00730778,0.00730778
29,24732.4,2.18825,2.5934,0.44473,0.50987,0.47848,0.47659,0.38786,1.92452,4.09368,0.42497,0.00720806,0.00720806,0.00720806
30,25577,2.18632,2.51939,0.44247,0.57271,0.46855,0.50322,0.41013,1.91812,3.91001,0.42493,0.00710835,0.00710835,0.00710835
31,26423.7,2.1597,2.49901,0.44239,0.51721,0.51316,0.51039,0.41976,1.92171,3.86708,0.42628,0.00700864,0.00700864,0.00700864
32,27266.5,2.14702,2.43023,0.43947,0.55674,0.50541,0.50645,0.42248,1.9338,4.0009,0.42443,0.00690893,0.00690893,0.00690893
